Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,92.743678,-91.194464,90,top
J2,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,92.743678,-57.188678,90,top
J3,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,92.743678,-23.182892,90,top
J4,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,41.737892,-91.194464,90,top
J5,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,41.737892,-57.188678,90,top
J6,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,41.737892,-23.182892,90,top
J7,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,7.347892,-57.188678,-90,top
J8,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,58.353678,-23.182892,-90,top
J9,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,58.353678,-57.188678,-90,top
J10,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,58.353678,-91.194464,-90,top
J11,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,7.347892,-91.194464,-90,top
J12,HDMI_A,HDMI_A_Molex_208658-1001_Horizontal,7.347892,-23.182892,-90,top
J13,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,24.7044753333333,-4.367892,180,top
J14,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,24.7044753333333,-72.379464,180,top
J15,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,75.7102613333333,-72.379464,180,top
J16,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,24.7044753333333,-38.373678,180,top
J17,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,75.7102613333333,-4.367892,180,top
J18,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,75.7102613333333,-38.373678,180,top
